state,cityname,mean_household_income
AL,Chickasaw,38773
AL,Louisville,37725
AL,Columbiana,54606
AL,Satsuma,63919
AL,Dauphin Island,77948
AL,Cullman,50715
AL,East Brewton,33737
AL,Coosada,46319
AL,Eva,57994
AL,Sylacauga,54807
AL,Rainsville,47929
AL,Gadsden,42251
AL,Georgiana,27993
AL,Rockford,31229
AL,Greensboro,36439
AL,Guin,56934
AL,Hartford,41057
AL,Helena,93682
AL,Hokes Bluff,57202
AL,Opp,49699
AL,Attalla,51926
AL,Millport,44572
AL,Section,56029
AL,Andalusia,51098
AL,Lockhart,45465
AL,Mcintosh,67392
AL,Maplesville,43767
AL,Fairfield,48074
AL,Mobile,53330
AL,Moulton,42079
AL,Muscle Shoals,60729
AL,Newbern,32466
AL,Northport,62410
AL,Opelika,55199
AL,Panola,22603
AL,Ozark,86605
AL,Deatsville,63066
AL,Prattville,53597
AL,Red Bay,39220
AL,Andalusia,39218
AL,Cleveland,55127
AL,Satsuma,59567
AL,Shelby,63758
AL,Smiths Station,57098
AL,Phil Campbell,72297
AL,Sumiton,51907
AL,Tallassee,55849
AL,Mobile,55230
AL,Tuscaloosa,55815
AL,Valley,49554
AL,Vincent,0
AL,Camp Hill,71026
AL,Cullman,58314
AL,Woodland,48217
AL,Wadley,14741
AL,Aliceville,28347
AL,Odenville,242857
AL,Auburn,59694
AL,Bayou La Batre,50047
AL,Bessemer,41239
AL,Boligee,32777
AL,Brilliant,33353
AL,Calera,65576
AL,Carrollton,41709
AL,Moody,45862
AL,Odenville,62222
AL,Hoover,90262
AL,Birmingham,92018
AL,Chelsea,78399
AL,Maylene,85122
AL,Ohatchee,66000
AL,Panola,34064
AL,Talladega,38882
AL,Sylacauga,40948
AL,Dadeville,48421
AL,Northport,77977
AL,Holt,37965
AL,Tuscaloosa,24931
AL,Tuscaloosa,60252
AL,Holt,53301
AL,Nauvoo,40072
AL,Lanett,35951
AL,Millry,48623
AL,Arley,49046
AL,Prattville,58180
AL,Elmore,41464
AL,Marbury,59061
AL,Perdido,55216
AL,Bay Minette,36474
